Billing document,Billing Type,Calendar Day,Material group,,Plant,,Sales Office,,Sold-to party,Billing Qty:Base UoM
5010602799,ZP01,11.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23289,11
5010602805,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,20
5010602806,ZP01,11.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,30376,1.97
5010602807,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010602808,ZP01,11.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23276,21
5010602809,ZP01,11.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23276,4
5010602810,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,16
5010602811,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,21
5010602812,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602813,ZP01,11.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,28834,6
5010602814,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602815,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29498,8
5010602816,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,21520,8
5010602817,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,15
5010602818,ZP01,11.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4100,HYDERABAD ZNL Office,24595,21
5010602819,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602820,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602821,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602822,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,22032,10
5010602823,ZP01,11.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26997,10
5010602824,ZP13,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602825,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,23001,21
5010602826,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010602827,ZP01,11.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,27677,21
5010602828,ZP01,11.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,24922,5
5010602829,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,25
5010602830,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31619,15
5010602831,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,21
5010602835,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010602836,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29262,21
5010602837,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010602838,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,25
5010602839,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,20
5010602840,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30654,16.228
5010602841,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,21
5010602842,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,21
5010602843,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,24
5010602844,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010602845,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010602853,ZP01,11.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,25
5010602918,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010602919,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010602920,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,25
5010602921,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28000,16
5010602922,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,25
5010602923,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,20
5010602924,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,10
5010602925,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31224,16
5010602926,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,27303,15
5010602927,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,25781,21
5010602928,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31325,21
5010602929,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31325,21
5010602930,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,21
5010602931,ZP01,12.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21453,21
5010602932,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31259,21
5010602933,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22389,26
5010602935,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29063,21
5010602936,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,16
5010602938,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4100,HYDERABAD ZNL Office,24925,16
5010602939,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,4100,HYDERABAD ZNL Office,24925,4
5010602940,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,24925,1
5010602941,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602942,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602943,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602944,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602945,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602946,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602947,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602948,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602949,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602950,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602951,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602952,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602953,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602954,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602955,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602956,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602957,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602958,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602960,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602961,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602962,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602963,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602964,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602965,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010602966,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010602967,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010602968,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602969,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602970,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010602971,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010602972,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602973,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602974,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010602975,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010602976,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28000,16
5010602977,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,31588,20
5010602978,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21827,16
5010602979,ZP01,12.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21777,21
5010602980,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,23109,21
5010602981,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31225,21
5010602982,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,25781,21
5010602984,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602985,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602986,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010602987,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010602988,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602989,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010602990,ZP01,12.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,4100,HYDERABAD ZNL Office,24025,21
5010602991,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,31589,21
5010602992,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,15
5010602993,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,28427,21
5010602994,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,10
5010602995,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,24165,16
5010602996,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,5
5010602997,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602998,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010602999,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010603000,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010603001,ZP13,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30971,17
5010603002,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30965,17
5010603003,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,16.975
5010603004,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603005,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603006,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30302,10
5010603007,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603008,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,15
5010603009,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603010,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29759,16
5010603011,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,30956,17
5010603012,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26702,16
5010603013,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,25588,16
5010603014,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603015,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603016,ZP13,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31328,17
5010603017,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31619,15
5010603018,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,15
5010603019,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,30211,20
5010603020,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,26
5010603021,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,21
5010603022,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,27756,6
5010603023,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,27125,15
5010603024,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,10
5010603025,ZP01,12.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,15
5010603026,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,25
5010603027,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010603028,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,25
5010603029,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,28967,21
5010603030,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,23276,20
5010603031,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,23276,5
5010603032,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29063,21
5010603033,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21445,25
5010603034,ZP01,12.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,21
5010603035,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,20
5010603036,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31619,15
5010603037,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,25
5010603038,ZP01,12.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,31930,21
5010603039,ZP01,12.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,29477,21
5010603040,ZP01,12.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1200,JAIPUR Zonal Office,20321,5
5010603041,ZP01,12.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1200,JAIPUR Zonal Office,20321,2
5010603042,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,31313,16
5010603043,ZP01,13.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,29103,15
5010603045,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,31386,6.978
5010603046,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,15
5010603047,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31325,21
5010603048,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,29088,16
5010603049,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31325,21
5010603050,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,28967,21
5010603051,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,28596,5
5010603054,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,21
5010603056,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,26661,15
5010603057,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,30211,9
5010603058,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,23001,21
5010603060,ZP01,13.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,28041,10
5010603062,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,28041,5
5010603063,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,30211,1
5010603064,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,30211,20
5010603066,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,15
5010603067,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,5
5010603070,ZP01,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010603071,ZP01,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,31656,15.833
5010603073,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,30240,20
5010603075,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26702,16
5010603076,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,15
5010603077,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,16
5010603078,ZP01,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010603083,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31158,21
5010603084,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,31588,20
5010603085,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21476,16
5010603086,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21669,21
5010603087,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,30211,20
5010603088,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,4200,BENGALURU ZNL Office,30373,21
5010603089,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,29038,16
5010603090,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,25
5010603092,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,26
5010603094,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,21
5010603096,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,4100,HYDERABAD ZNL Office,25095,21
5010603097,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010603098,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,25
5010603099,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31266,21
5010603100,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,15
5010603101,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,23289,21
5010603102,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,10
5010603103,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30302,10
5010603104,ZP01,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,1300,LUCKNOW Zonal Office,31588,20
5010603105,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010603108,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,15
5010603109,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30302,20
5010603110,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,1000,NCR Zonal Office,31402,14.88
5010603112,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,21777,21
5010603113,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,31331,21
5010603114,ZP01,13.01.2018,FG0014,HDPE 2 - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,28375,16
5010603115,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21437,10
5010603116,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21437,5
5010603117,ZP01,13.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1000,NCR Zonal Office,30952,10
5010603120,ZP01,13.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,27779,20
5010603122,ZP01,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31615,30
5010603123,ZP13,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010603124,ZP13,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010603125,ZP13,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010603126,ZP13,13.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31686,17
5010603127,ZP13,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010603128,ZP13,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
5010603129,ZP13,13.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,32030,17
