Billing document,Billing Type,Calendar Day,Material group,,Plant,,Sales Office,,Sold-to party,Billing Qty:Base UoM
5010601424,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22389,2
5010601425,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29759,21
5010601426,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29759,5
5010601427,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30936,20
5010601428,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,27608,10
5010601429,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,27644,10.5
5010601434,ZP01,02.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22204,21
5010601435,ZP01,02.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22204,4
5010601436,ZP01,02.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26703,3
5010601437,ZP01,02.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26703,13
5010601438,ZP01,02.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,26703,5
5010601439,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,29664,11
5010601440,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,4200,BENGALURU ZNL Office,29664,10
5010601441,ZP01,02.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,30656,2.996
5010601488,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,30755,21
5010601489,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,32084,16
5010601490,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601491,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,21
5010601492,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601493,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601494,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601495,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601496,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601497,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601498,ZP13,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,9000,Export Sales Office,31080,17
5010601501,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22799,21
5010601502,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29018,4
5010601503,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1200,JAIPUR Zonal Office,30711,15
5010601504,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29018,4
5010601505,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29018,4
5010601506,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29018,4
5010601507,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29063,20
5010601508,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,27331,15
5010601509,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30312,15
5010601510,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1100,CHANDIGARH ZNLOffice,30015,15
5010601511,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,31610,16
5010601512,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,21
5010601513,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,31550,15
5010601514,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,29477,21
5010601515,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,21
5010601516,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22874,10
5010601517,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22855,6
5010601518,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,31402,13
5010601519,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,29408,15
5010601520,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,2000,MUMBAI Zonal Office,27798,16
5010601521,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22524,16
5010601522,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,16
5010601523,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,10
5010601524,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4200,BENGALURU ZNL Office,23079,16
5010601531,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1000,NCR Zonal Office,30952,20
5010601533,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,26910,15
5010601536,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,26910,15
5010601538,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,21
5010601539,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,4
5010601540,ZP01,03.01.2018,FG0022,HDPE U PC-II,5010,Pata-PC,4000,CHENNAI Zonal Office,29477,21
5010601543,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,31584,15
5010601544,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,21
5010601545,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,20
5010601546,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1000,NCR Zonal Office,30938,10
5010601547,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,1300,LUCKNOW Zonal Office,21081,20
5010601549,ZP01,03.01.2018,FG0001,HDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,26726,20
5010601550,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2000,MUMBAI Zonal Office,31263,25
5010601551,ZP01,03.01.2018,FG0023,LLDPE U PC-II,5010,Pata-PC,1200,JAIPUR Zonal Office,30711,15
5010601552,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,16
5010601553,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,1300,LUCKNOW Zonal Office,26910,15
5010601554,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21669,15
5010601555,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2000,MUMBAI Zonal Office,21669,1
5010601557,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22204,21
5010601558,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,22400,16
5010601559,ZP01,03.01.2018,FG0003,LLDPE - GLENE,5010,Pata-PC,2100,AHMEDABAD ZNL Office,29062,21
5010601561,ZP01,03.01.2018,FG0002,HDPE - GLEX,5010,Pata-PC,2100,AHMEDABAD ZNL Office,28845,16
