"Material.group","Plant","Sales.Office","Billing.Qty.Base.UoM","Lower_Predicted_Value","Higher_Predicted_Value","Date"
"FG0022",5010,"2000",16,1479967.3437852,1494767.01722305,2018-01-03
"FG0003",5010,"2100",16,1545347.32736172,1560800.80063534,2018-01-03
"FG0001",5010,"2000",16,1531835.2586524,1547153.61123893,2018-01-03
"FG0023",5010,"1000",10,947652.7798931,957129.307692031,2018-01-03
"FG0022",5010,"4200",16,1487644.94440794,1502521.39385202,2018-01-03
"FG0002",5010,"1000",20,1986209.75485417,2006071.85240271,2018-01-03
"FG0002",5010,"1300",15,1475464.50038038,1490219.14538419,2018-01-03
"FG0002",5010,"1300",15,1475464.50038038,1490219.14538419,2018-01-03
"FG0001",5010,"2000",21,2050834.36316812,2071342.7067998,2018-01-03
"FG0001",5010,"2000",4,286237.407814682,289099.781892828,2018-01-03
"FG0022",5010,"4000",21,2000311.22679573,2020314.33906369,2018-01-03
"FG0002",5010,"1300",15,1475464.50038038,1490219.14538419,2018-01-03
"FG0002",5010,"2000",21,2070485.05740115,2091189.90797516,2018-01-03
"FG0001",5010,"2000",20,1947034.54226498,1966504.88768763,2018-01-03
"FG0023",5010,"1000",10,947652.7798931,957129.307692031,2018-01-03
"FG0001",5010,"1300",20,1974812.91066307,1994561.0397697,2018-01-03
"FG0001",5010,"2000",20,1947034.54226498,1966504.88768763,2018-01-03
"FG0002",5010,"2000",25,2485684.34101373,2510541.18442387,2018-01-03
"FG0023",5010,"1200",15,1470276.66804062,1484979.43472102,2018-01-03
"FG0002",5010,"2100",16,1550136.91300814,1565638.28213822,2018-01-03
"FG0002",5010,"1300",15,1475464.50038038,1490219.14538419,2018-01-03
"FG0003",5010,"2000",15,1442896.54633588,1457325.51179923,2018-01-03
"FG0003",5010,"2000",1,-10300.9463081509,-10403.9557712324,2018-01-03
"FG0003",5010,"2100",21,2064346.43187743,2084989.89619621,2018-01-03
"FG0003",5010,"2100",16,1545347.32736172,1560800.80063534,2018-01-03
"FG0003",5010,"2100",21,2064346.43187743,2084989.89619621,2018-01-03
"FG0002",5010,"2100",16,1550136.91300814,1565638.28213822,2018-01-03
"FG0002",5010,"3000",21,2062090.00603619,2082710.90609655,2018-01-03
"FG0001",5010,"2000",20,1947034.54226498,1966504.88768763,2018-01-03
"FG0003",5010,"2100",21,2064346.43187743,2084989.89619621,2018-01-03
"FG0002",5010,"1000",25,2505208.85936989,2530260.94796359,2018-01-03
"FG0002",5010,"2000",28,2797083.80372316,2825054.64176039,2018-01-03
"FG0002",5010,"2100",13,1238737.45029871,1251124.8248017,2018-01-03
"FG0001",5010,"2000",21,2050834.36316812,2071342.7067998,2018-01-03
"FG0001",5010,"2100",3,181088.547034234,182899.432504576,2018-01-03
"FG0001",5010,"2000",16,1531835.2586524,1547153.61123893,2018-01-03
"FG0002",5010,"2000",10,928687.027466565,937973.897741231,2018-01-03
"FG0014",5010,"2000",11,1031947.99883169,1042267.47882001,2018-01-03
"FG0002",5010,"1000",15,1467210.65033846,1481882.75684184,2018-01-03
"FG0003",5010,"2100",21,2064346.43187743,2084989.89619621,2018-01-03
"FG0002",5010,"1000",4,325412.620403871,328666.74660791,2018-01-03
"FG0001",5010,"1300",20,1974812.91066307,1994561.0397697,2018-01-03
"FG0002",5010,"1300",10,956465.395864651,966030.049823297,2018-01-03
"FG0002",5010,"1300",6,541266.112252086,546678.773374607,2018-01-03
"FG0003",5010,"2000",10,923897.441820145,933136.416238346,2018-01-03
"FG0002",5010,"4100",5,417799.084274903,421977.075117652,2018-01-03
"FG0023",5010,"1000",10,947652.7798931,957129.307692031,2018-01-03
"FG0002",5010,"4100",16,1559597.11420949,1575193.08535158,2018-01-03
"FG0002",5010,"1000",11,1052011.36672588,1062531.48039314,2018-01-03
"FG0002",5010,"2100",21,2069136.01752385,2089827.37769909,2018-01-03
"FG0002",5010,"2000",21,2070485.05740115,2091189.90797516,2018-01-03
"FG0014",5010,"2000",4,305349.252509683,308402.74503478,2018-01-03
"FG0002",5010,"2100",16,1550136.91300814,1565638.28213822,2018-01-03
"FG0002",5010,"2000",20,1966685.23649801,1986352.08886299,2018-01-03
"FG0003",5010,"2100",10,922383.521464348,931607.356678991,2018-01-04
"FG0001",5010,"2100",6,492323.129265174,497246.360557826,2018-01-04
"FG0014",5010,"1200",15,1470131.70395371,1484833.02099325,2018-01-04
"FG0022",5010,"4000",21,2000146.34631723,2020147.8097804,2018-01-04
"FG0022",5010,"4000",21,2000146.34631723,2020147.8097804,2018-01-04
"FG0014",5010,"1200",15,1470131.70395371,1484833.02099325,2018-01-04
"FG0014",5010,"1200",15,1470131.70395371,1484833.02099325,2018-01-04
"FG0002",5010,"2100",16,1549972.03252964,1565471.75285493,2018-01-04
"FG0003",5010,"2100",16,1545182.44688322,1560634.27135205,2018-01-04
"FG0002",5010,"1000",20,1986044.87437567,2005905.32311943,2018-01-04
"FG0014",5010,"4100",16,1558893.38419296,1574482.31803489,2018-01-04
"FG0003",5010,"2100",21,2064181.55139893,2084823.36691292,2018-01-04
"FG0002",5010,"2100",16,1549972.03252964,1565471.75285493,2018-01-04
"FG0003",5010,"2100",21,2064181.55139893,2084823.36691292,2018-01-04
"FG0002",5010,"1300",15,1475299.61990188,1490052.6161009,2018-01-04
"FG0023",5010,"1200",15,1470111.78756212,1484812.90543774,2018-01-04
"FG0023",5010,"1200",15,1470111.78756212,1484812.90543774,2018-01-04
"FG0023",5010,"1000",14.99,1465449.00572129,1480103.4957785,2018-01-04
"FG0002",5010,"1100",15,1472232.26828422,1486954.59096706,2018-01-04
"FG0002",5010,"1100",15,1472232.26828422,1486954.59096706,2018-01-04
"FG0002",5010,"2000",16,1551321.07240693,1566834.283131,2018-01-04
"FG0023",5010,"2100",8,719014.699374869,726204.846368618,2018-01-04
"FG0003",5010,"2100",8,714783.879658073,721931.718454654,2018-01-04
"FG0023",5010,"1000",20,1985486.10844605,2005340.96953051,2018-01-04
"FG0002",5010,"1300",15,1475299.61990188,1490052.6161009,2018-01-04
"FG0022",5010,"4200",21,2006479.16844516,2026543.96012961,2018-01-04
"FG0014",5010,"2000",21,2069781.32738462,2090479.14065847,2018-01-04
"FG0002",5010,"2000",16,1551321.07240693,1566834.283131,2018-01-04
"FG0023",5010,"1000",20,1985486.10844605,2005340.96953051,2018-01-04
