Sold_to_party,Total_Score,customerType
27540,512,New
27437,512,New
27791,512,New
21008,512,New
28632,512,New
27336,512,New
27399,512,New
21652,512,New
29136,512,New
26964,512,New
29501,512,New
27410,512,New
28561,512,New
20007,512,New
23672,512,New
21950,512,New
26451,512,New
23981,512,New
27095,512,New
29425,512,New
24665,512,New
21005,512,New
26810,512,New
21329,512,New
29371,512,New
28831,512,New
20500,512,New
28010,512,New
28006,512,New
28905,512,New
27274,512,New
28727,512,New
26133,512,New
25190,511,New
20852,511,New
21123,511,New
26422,511,New
21703,511,New
25119,511,New
28361,511,New
26421,511,New
23793,511,New
29730,511,New
29708,511,New
29412,511,New
29555,511,New
29724,511,New
29742,511,New
29159,511,New
29812,511,New
28616,511,New
27415,511,New
23830,511,New
23402,511,New
24739,511,New
25984,511,New
29460,511,New
24530,511,New
23673,511,New
27665,511,New
29071,511,New
26600,511,New
24382,511,New
29356,511,New
27870,511,New
25010,511,New
29280,511,New
24384,511,New
27821,511,New
20415,511,New
28009,511,New
21612,511,New
25932,511,New
26514,511,New
29670,511,New
21377,511,New
25842,511,New
23599,511,New
25463,511,New
25398,455,Champions
25434,455,Champions
29379,455,Champions
29290,455,Champions
28929,455,Champions
22983,455,Champions
24716,455,Champions
29944,455,Champions
27004,455,Champions
28597,455,Champions
21107,454,Champions
24724,454,Champions
22459,453,Champions
29511,453,Champions
28328,453,Champions
27980,453,Champions
27223,452,Loyal
26726,445,Champions
27539,445,Champions
27629,445,Champions
26945,445,Champions
22032,445,Champions
27824,445,Champions
25468,445,Champions
22054,445,Champions
29671,444,Champions
24468,444,Champions
21418,444,Champions
25588,444,Champions
21174,444,Champions
23518,444,Champions
26359,444,Champions
26263,444,Champions
27959,444,Champions
20837,443,Loyal
20569,443,Loyal
25835,443,Loyal
27875,443,Loyal
29079,443,Loyal
23657,443,Loyal
28434,443,Loyal
24212,443,Loyal
28433,443,Loyal
20755,443,Loyal
28284,443,Loyal
24796,443,Loyal
24545,442,Loyal
29363,442,Loyal
25891,442,Loyal
28135,442,Loyal
27915,442,Loyal
27271,442,Loyal
28921,442,Loyal
27794,442,Loyal
23464,442,Loyal
20786,441,Potential Loyalist
27190,441,Potential Loyalist
28083,441,Potential Loyalist
29612,435,Champions
29477,435,Champions
29271,435,Champions
28297,435,Champions
21823,435,Champions
20325,435,Champions
28914,435,Champions
25376,435,Champions
29208,435,Champions
29647,435,Champions
28194,435,Champions
29704,435,Champions
24245,435,Champions
27523,435,Champions
26378,435,Champions
28946,435,Champions
23454,435,Champions
29773,435,Champions
29517,435,Champions
29772,434,Loyal
28538,434,Loyal
22656,434,Loyal
28985,434,Loyal
28721,434,Loyal
22449,434,Loyal
21907,434,Loyal
20023,434,Loyal
20283,434,Loyal
28931,434,Loyal
29065,434,Loyal
28800,434,Loyal
26034,434,Loyal
22019,434,Loyal
29047,434,Loyal
25736,434,Loyal
26240,434,Loyal
28882,434,Loyal
28462,434,Loyal
27440,434,Loyal
20620,434,Loyal
28980,433,Loyal
27627,433,Loyal
28087,433,Loyal
22073,433,Loyal
29496,433,Loyal
20600,433,Loyal
20501,433,Loyal
29621,433,Loyal
20684,433,Loyal
29802,433,Loyal
28633,433,Loyal
29599,433,Loyal
23357,433,Loyal
23035,433,Loyal
28015,433,Loyal
29552,432,Potential Loyalist
27864,432,Potential Loyalist
24711,432,Potential Loyalist
27900,432,Potential Loyalist
22166,432,Potential Loyalist
26047,432,Potential Loyalist
26501,432,Potential Loyalist
25997,432,Potential Loyalist
27184,432,Potential Loyalist
20084,432,Potential Loyalist
25215,432,Potential Loyalist
20086,432,Potential Loyalist
27697,432,Potential Loyalist
25963,432,Potential Loyalist
29288,432,Potential Loyalist
24879,432,Potential Loyalist
28093,432,Potential Loyalist
29833,432,Potential Loyalist
26558,431,Potential Loyalist
26839,431,Potential Loyalist
21108,431,Potential Loyalist
22752,431,Potential Loyalist
29601,431,Potential Loyalist
25760,431,Potential Loyalist
23774,431,Potential Loyalist
25980,431,Potential Loyalist
25063,431,Potential Loyalist
23826,431,Potential Loyalist
24419,431,Potential Loyalist
25284,431,Potential Loyalist
21441,431,Potential Loyalist
26373,431,Potential Loyalist
23339,431,Potential Loyalist
27475,431,Potential Loyalist
24244,431,Potential Loyalist
21783,431,Potential Loyalist
29506,431,Potential Loyalist
29221,425,Loyal
23227,425,Loyal
26220,425,Loyal
20167,425,Loyal
20393,425,Loyal
26965,425,Loyal
21714,425,Loyal
28677,425,Loyal
29004,425,Loyal
22511,425,Loyal
27690,425,Loyal
21862,425,Loyal
21611,425,Loyal
24776,425,Loyal
26970,425,Loyal
25096,425,Loyal
29809,425,Loyal
26852,424,Loyal
20984,424,Loyal
26878,424,Loyal
22158,424,Loyal
24850,424,Loyal
25708,424,Loyal
29106,424,Loyal
22335,424,Loyal
24786,424,Loyal
29171,424,Loyal
22270,424,Loyal
29113,424,Loyal
25966,424,Loyal
20169,424,Loyal
29850,424,Loyal
29781,424,Loyal
20915,424,Loyal
25235,424,Loyal
29937,424,Loyal
29251,424,Loyal
28150,424,Loyal
28957,424,Loyal
22198,424,Loyal
24103,423,Potential Loyalist
20726,423,Potential Loyalist
29744,423,Potential Loyalist
27018,423,Potential Loyalist
27714,423,Potential Loyalist
29066,423,Potential Loyalist
29721,423,Potential Loyalist
29957,423,Potential Loyalist
24104,423,Potential Loyalist
29796,423,Potential Loyalist
29731,423,Potential Loyalist
24272,423,Potential Loyalist
29413,423,Potential Loyalist
20006,423,Potential Loyalist
26086,423,Potential Loyalist
29571,423,Potential Loyalist
25522,423,Potential Loyalist
27691,423,Potential Loyalist
27416,423,Potential Loyalist
28526,423,Potential Loyalist
28953,423,Potential Loyalist
25631,422,Potential Loyalist
27970,422,Potential Loyalist
21132,422,Potential Loyalist
29917,422,Potential Loyalist
29872,422,Potential Loyalist
29225,422,Potential Loyalist
21131,422,Potential Loyalist
27500,422,Potential Loyalist
21398,422,Potential Loyalist
22768,422,Potential Loyalist
26478,422,Potential Loyalist
29864,422,Potential Loyalist
29777,422,Potential Loyalist
21164,422,Potential Loyalist
28403,422,Potential Loyalist
28898,422,Potential Loyalist
26955,422,Potential Loyalist
26962,422,Potential Loyalist
28414,422,Potential Loyalist
27210,422,Potential Loyalist
28147,422,Potential Loyalist
28922,422,Potential Loyalist
29384,422,Potential Loyalist
21584,422,Potential Loyalist
26126,422,Potential Loyalist
24260,422,Potential Loyalist
27948,422,Potential Loyalist
23669,422,Potential Loyalist
29244,422,Potential Loyalist
29805,422,Potential Loyalist
21904,422,Potential Loyalist
29747,422,Potential Loyalist
29919,422,Potential Loyalist
27065,422,Potential Loyalist
21828,422,Potential Loyalist
29808,422,Potential Loyalist
24319,422,Potential Loyalist
28860,422,Potential Loyalist
29560,422,Potential Loyalist
28340,422,Potential Loyalist
29860,422,Potential Loyalist
29784,421,New
27203,421,New
