,
Calendar_Day,Net_Value
26.05.2014 Total,"33,138,558.91"
27.05.2014 Total,"87,743,561.63"
28.05.2014 Total,"79,616,104.16"
29.05.2014 Total,"76,622,192.52"
30.05.2014 Total,"123,963,117.59"
31.05.2014 Total,"130,345,615.18"
02.06.2014 Total,"2,457,831.16"
03.06.2014 Total,"39,041,523.38"
04.06.2014 Total,"151,529,269.36"
05.06.2014 Total,"116,656,488.48"
06.06.2014 Total,"132,034,777.68"
07.06.2014 Total,"75,303,413.36"
08.06.2014 Total,"116,807,415.25"
09.06.2014 Total,"33,923,442.82"
10.06.2014 Total,"104,806,589.81"
11.06.2014 Total,"113,864,139.19"
12.06.2014 Total,"98,999,545.80"
13.06.2014 Total,"109,849,069.14"
14.06.2014 Total,"111,627,853.57"
15.06.2014 Total,"70,142,264.18"
16.06.2014 Total,"55,992,266.54"
17.06.2014 Total,"104,797,184.10"
18.06.2014 Total,"123,330,723.29"
19.06.2014 Total,"77,793,756.54"
20.06.2014 Total,"146,510,616.45"
21.06.2014 Total,"127,850,949.82"
22.06.2014 Total,"141,601,117.64"
23.06.2014 Total,"59,403,059.78"
24.06.2014 Total,"120,229,128.68"
25.06.2014 Total,"196,890,134.32"
26.06.2014 Total,"128,340,396.12"
27.06.2014 Total,"168,265,991.99"
28.06.2014 Total,"198,643,333.49"
29.06.2014 Total,"194,170,578.27"
30.06.2014 Total,"165,197,198.07"
01.07.2014 Total,"2,448,832.36"
02.07.2014 Total,"36,526,591.56"
03.07.2014 Total,"152,196,284.40"
04.07.2014 Total,"108,907,202.02"
05.07.2014 Total,"139,664,296.93"
06.07.2014 Total,"138,070,312.56"
07.07.2014 Total,"66,316,545.38"
08.07.2014 Total,"156,180,728.98"
09.07.2014 Total,"158,003,310.53"
10.07.2014 Total,"140,321,686.65"
11.07.2014 Total,"69,739,056.35"
12.07.2014 Total,"146,203,742.84"
13.07.2014 Total,"3,732,577.28"
14.07.2014 Total,"79,534,272.61"
15.07.2014 Total,"142,525,542.33"
16.07.2014 Total,"152,392,379.16"
17.07.2014 Total,"113,049,680.04"
18.07.2014 Total,"107,907,531.47"
19.07.2014 Total,"126,224,963.95"
20.07.2014 Total,"70,959,712.81"
21.07.2014 Total,"52,290,467.06"
22.07.2014 Total,"90,543,999.25"
23.07.2014 Total,"157,607,829.48"
24.07.2014 Total,"116,333,535.03"
25.07.2014 Total,"122,563,833.57"
26.07.2014 Total,"110,179,887.06"
27.07.2014 Total,"102,409,202.77"
28.07.2014 Total,"54,252,710.31"
29.07.2014 Total,"134,781,945.21"
30.07.2014 Total,"135,610,491.06"
31.07.2014 Total,"174,449,704.83"
02.08.2014 Total,"168,799,895.14"
03.08.2014 Total,"153,771,942.46"
04.08.2014 Total,"90,027,146.75"
05.08.2014 Total,"149,751,880.81"
06.08.2014 Total,"146,893,633.13"
07.08.2014 Total,"157,864,388.44"
08.08.2014 Total,"143,703,123.22"
09.08.2014 Total,"186,124,288.72"
